"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2018","84","PM2.5","Chico-East Avenue","06-007-0008","AQS","9","30","32","84","20"
"01/02/2018","85","PM2.5","Chico-East Avenue","06-007-0008","AQS","14","28","33","85","18"
"01/03/2018","103","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","9","31","38","103","14"
"01/04/2018","78","PM2.5","Chico-East Avenue","06-007-0008","AQS","5","34","24","78","16"
"01/05/2018","59","PM2.5","Chico-East Avenue","06-007-0008","AQS","5","32","15","59","6"
"01/06/2018","59","PM2.5","Chico-East Avenue","06-007-0008","AQS","7","33","16","59","20"
"01/07/2018","70","PM2.5","Chico-East Avenue","06-007-0008","AQS","8","27","21","70","14"
"01/08/2018","54","PM2.5","Chico-East Avenue","06-007-0008","AQS","7","34","12","54","16"
"01/09/2018","39","Ozone","Paradise - Airport","06-007-0007","AQS","3","39","4","27","8"
"01/10/2018","38","PM2.5","Chico-East Avenue","06-007-0008","AQS","5","32","11","38","12"
"01/11/2018","52","PM2.5","Chico-East Avenue","06-007-0008","AQS","7","28","16","52","12"
"01/12/2018","54","PM2.5","Chico-East Avenue","06-007-0008","AQS","5","32","17","54","10"
"01/13/2018","72","PM2.5","Chico-East Avenue","06-007-0008","AQS","7","25","24","72","15"
"01/14/2018","73","PM2.5","Chico-East Avenue","06-007-0008","AQS","11","26","22","73","8"
"01/15/2018","55","PM2.5","Chico-East Avenue","06-007-0008","AQS","5","29","16","55","10"
"01/16/2018","65","PM2.5","Chico-East Avenue","06-007-0008","AQS","8","31","21","65","16"
"01/17/2018","67","PM2.5","Chico-East Avenue","06-007-0008","AQS","10","20","22","67","."
"01/18/2018","67","PM2.5","Chico-East Avenue","06-007-0008","AQS","3","35","21","67","10"
"01/19/2018","38","Ozone","Paradise - Airport","06-007-0007","AQS","5","38","15","35","12"
"01/20/2018","43","PM2.5","Chico-East Avenue","06-007-0008","AQS","6","37","16","43","18"
"01/21/2018","52","PM2.5","Chico-East Avenue","06-007-0008","AQS","9","40","17","52","16"
"01/22/2018","39","Ozone","Paradise - Airport","06-007-0007","AQS","5","39","9","34","9"
"01/23/2018","48","PM2.5","Chico-East Avenue","06-007-0008","AQS","7","31","18","48","17"
"01/24/2018","58","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","39","16","58","8"
"01/25/2018","38","Ozone","Paradise - Airport","06-007-0007","AQS","2","38","9","24","6"
"01/26/2018","50","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","34","16","50","18"
"01/27/2018","53","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","34","13","53","10"
"01/28/2018","51","PM2.5","Chico-East Avenue","06-007-0008","AQS","6","34","17","51","17"
"01/29/2018","65","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","7","30","25","65","15"
"01/30/2018","66","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","8","41","30","66","19"
"01/31/2018","64","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","8","41","28","64","18"
"02/01/2018","70","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","9","35","25","70","22"
"02/02/2018","67","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","42","17","67","18"
"02/03/2018","41","Ozone","Paradise - Airport","06-007-0007","AQS","2","41","11","40","13"
"02/04/2018","81","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","39","20","81","23"
"02/05/2018","62","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","42","18","62","19"
"02/06/2018","45","Ozone","Paradise - Airport","06-007-0007","AQS","2","45","19","28","14"
"02/07/2018","43","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","43","26","43","26"
"02/08/2018","63","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","7","40","22","63","25"
"02/09/2018","66","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","7","31","29","66","21"
"02/10/2018","52","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","46","30","52","17"
"02/11/2018","46","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","44","22","46","22"
"02/12/2018","39","Ozone","Paradise - Airport","06-007-0007","AQS","6","39","19","35","9"
"02/13/2018","45","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","37","21","45","22"
"02/14/2018","54","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","7","42","24","54","18"
"02/15/2018","53","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","42","24","53","18"
"02/16/2018","62","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","7","45","28","62","22"
"02/17/2018","66","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","47","26","66","18"
"02/18/2018","47","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","42","14","47","8"
"02/19/2018","40","Ozone","Paradise - Airport","06-007-0007","AQS","5","40","15","36","16"
"02/20/2018","51","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","37","17","51","25"
"02/21/2018","54","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","43","20","54","17"
"02/22/2018","53","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","39","18","53","15"
"02/23/2018","45","PM2.5","Paradise - Theater","06-007-2002","AQS","5","40","14","45","22"
"02/24/2018","54","PM2.5","Chico-East Avenue","06-007-0008","AQS","9","40","22","54","24"
"02/25/2018","43","Ozone","Paradise - Airport","06-007-0007","AQS","5","43","16","38","17"
"02/26/2018","44","Ozone","Paradise - Airport","06-007-0007","AQS","2","44","9","25","10"
"02/27/2018","44","Ozone","Paradise - Airport","06-007-0007","AQS","3","44","11","17","23"
"02/28/2018","43","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","42","15","43","27"
"03/01/2018","41","Ozone","Paradise - Airport","06-007-0007","AQS","2","41","7","26","4"
"03/02/2018","43","Ozone","Paradise - Airport","06-007-0007","AQS","2","43","6","14","7"
"03/03/2018","42","Ozone","Paradise - Airport","06-007-0007","AQS","2","42","7","20","8"
"03/04/2018","39","Ozone","Paradise - Airport","06-007-0007","AQS","3","39","8","34","15"
"03/05/2018","44","Ozone","Paradise - Airport","06-007-0007","AQS","5","44",".","40","19"
"03/06/2018","54","PM2.5","Chico-East Avenue","06-007-0008","AQS","7","45",".","54","20"
"03/07/2018","54","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","50",".","54","19"
"03/08/2018","39","Ozone","Paradise - Airport","06-007-0007","AQS","2","39",".","25","9"
"03/09/2018","40","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","38",".","40","16"
"03/10/2018","53","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","35","10","53","14"
"03/11/2018","43","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","39","6","43","11"
"03/12/2018","45","Ozone","Paradise - Airport","06-007-0007","AQS","3","45","10","43","10"
"03/13/2018","42","Ozone","Paradise - Airport","06-007-0007","AQS","2","42","1","19","5"
"03/14/2018","43","Ozone","Paradise - Airport","06-007-0007","AQS","3","43","5","27","10"
"03/15/2018","40","Ozone","Paradise - Airport","06-007-0007","AQS","3","40","5","21","10"
"03/16/2018","40","Ozone","Paradise - Airport","06-007-0007","AQS","2","40","4","20","5"
"03/17/2018","42","Ozone","Paradise - Airport","06-007-0007","AQS","2","42","5","34","7"
"03/18/2018","38","Ozone","Paradise - Airport","06-007-0007","AQS","3","38","6","31","12"
"03/19/2018","41","Ozone","Paradise - Airport","06-007-0007","AQS","3","41","6","33","15"
